host_name                                         ,name                ,LAST_FULL_BACKUP_DATE         ,LAST_INCREMENTAL_BACKUP_DATE
pactrndb01.cc.columbia.edu                        ,HR92TRN             ,2018-09-21 18:52:18           ,2018-09-24 18:30:42
pactst1db01.cc.columbia.edu                       ,HR92TST1            ,2018-09-19 19:29:33           ,2018-09-25 19:01:08
pactst2db01.cc.columbia.edu                       ,HR92TST2            ,2018-09-19 23:26:54           ,2018-09-25 23:00:36
patchproddb01.cc.columbia.edu                     ,PATCH1P             ,2018-09-24 03:02:07           ,2018-09-25 03:01:56
patchtestdb01.cc.columbia.edu                     ,PATCH1T             ,2018-09-24 03:02:18           ,2018-09-25 03:02:03
phrdevdb01.cc.columbia.edu                        ,PHRDEV              ,2018-09-22 16:00:54           ,2018-09-25 16:00:34
phrprddb01.cc.columbia.edu                        ,PHRPRD              ,2018-09-22 16:03:46           ,2018-09-25 16:08:56
preciseproddb01.cc.columbia.edu                   ,PMDB                ,2018-09-24 04:14:29           ,2018-09-26 04:01:46
psdevupk01.cc.columbia.edu                        ,UPK12DB             ,2018-09-26 13:00:37           ,2018-09-25 13:00:17
rascaldevdb01.cc.columbia.edu                     ,RASCAL1D            ,2018-09-22 02:01:40           ,2018-09-26 02:00:55
rascalproddb01.cc.columbia.edu                    ,RASCAL1P            ,2018-09-22 05:06:55           ,2018-09-26 04:07:08
rascaltestdb01.cc.columbia.edu                    ,RASCAL1T            ,2018-09-22 02:26:19           ,2018-09-26 02:25:44
rmanproddb01.cc.columbia.edu                      ,RMAN1P              ,2018-09-24 03:03:48           ,2018-09-25 03:03:48
rmantestdb01.cc.columbia.edu                      ,RMAN1T              ,2018-09-24 03:02:50           ,2018-09-25 03:02:17
sakaidbdev-ci.cc.columbia.edu                     ,CLSRM1D             ,2018-09-23 22:24:20           ,2018-09-25 22:14:13
sakaidbdev-ci.cc.columbia.edu                     ,SAKAI1D             ,2018-09-16 01:48:33           ,2018-09-21 00:27:37
sakaidbdev-ci.cc.columbia.edu                     ,SAKAI1Q             ,2018-09-23 22:48:38           ,2018-09-25 21:22:24
sakaidbprod-ci.cc.columbia.edu                    ,CLSRM1P             ,2018-09-26 01:31:00           ,
sakaidbprod-ci.cc.columbia.edu                    ,SAKAIP              ,2018-09-24 17:17:36           ,2018-09-26 00:05:52
sakaidbtest-ci.cc.columbia.edu                    ,CLSRM1T             ,2018-09-23 23:31:28           ,2018-09-25 23:21:32
sakaidbtest-ci.cc.columbia.edu                    ,SAKAI12             ,2018-09-24 01:32:23           ,2018-09-25 23:19:20
sdmdevdb02.cc.columbia.edu                        ,SDM1D               ,2018-09-25 21:03:45           ,
sdmproddb02.cc.columbia.edu                       ,SDM1P               ,2018-09-25 21:18:28           ,
sdmtestdb02.cc.columbia.edu                       ,SDM1T               ,2018-09-25 21:10:14           ,
trackproddb01.cc.columbia.edu                     ,DBTRAC1P            ,2018-09-25 05:02:00           ,2018-09-26 05:00:31
tracktestdb01.cc.columbia.edu                     ,DBTRAC1T            ,2018-09-24 03:02:12           ,2018-09-25 03:01:59
twproddb01.cc.columbia.edu                        ,TWPPRD              ,2018-09-24 04:29:39           ,2018-09-26 04:02:43
udsdevdb01.cc.columbia.edu                        ,ERSTGD              ,2018-09-24 04:06:37           ,2018-09-26 04:06:27
udsproddb01.cc.columbia.edu                       ,ERSTGP              ,2018-09-25 03:26:16           ,2018-09-26 03:02:07
udstestdb01.cc.columbia.edu                       ,ERSTGT              ,2018-09-25 05:16:11           ,2018-09-26 05:04:21

136 rows selected.

